MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
60.0,3.0,65.0,8450.0,1.0,3,3.0,0.0,4,0.0,5,2.0,2.0,0.0,5,7.0,5.0,2003.0,2003,1.0,1.0,12.0,13.0,1,196.0,2.0,4.0,2.0,2.0,3.0,3.0,2,706.0,5.0,0.0,150.0,856.0,1.0,0,1.0,4.0,856.0,854.0,0.0,1710.0,1.0,0.0,2.0,1,3.0,1.0,2.0,8.0,6.0,0.0,1,2003.0,1,2.0,548.0,4.0,4.0,2.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,2,2008,8.0,4.0,208500.0
20.0,3.0,80.0,9600.0,1.0,3,3.0,0.0,2,0.0,24,2.0,2.0,0.0,2,6.0,6.0,1976.0,1976,1.0,1.0,8.0,8.0,2,0.0,3.0,4.0,1.0,2.0,3.0,1.0,0,978.0,5.0,0.0,284.0,1262.0,1.0,0,1.0,4.0,1262.0,0.0,0.0,1262.0,0.0,0.0,2.0,0,3.0,1.0,3.0,6.0,6.0,1.0,1,1976.0,1,2.0,460.0,4.0,4.0,2.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2007,8.0,4.0,181500.0
60.0,3.0,68.0,11250.0,1.0,0,3.0,0.0,4,0.0,5,2.0,2.0,0.0,5,7.0,5.0,2001.0,2002,1.0,1.0,12.0,13.0,1,162.0,2.0,4.0,2.0,2.0,3.0,2.0,2,486.0,5.0,0.0,434.0,920.0,1.0,0,1.0,4.0,920.0,866.0,0.0,1786.0,1.0,0.0,2.0,1,3.0,1.0,2.0,6.0,6.0,1.0,1,2001.0,1,2.0,608.0,4.0,4.0,2.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,9,2008,8.0,4.0,223500.0
70.0,3.0,60.0,9550.0,1.0,0,3.0,0.0,0,0.0,6,2.0,2.0,0.0,5,7.0,5.0,1915.0,1970,1.0,1.0,13.0,15.0,2,0.0,3.0,4.0,0.0,3.0,3.0,3.0,0,216.0,5.0,0.0,540.0,756.0,1.0,2,1.0,4.0,961.0,756.0,0.0,1717.0,1.0,0.0,1.0,0,3.0,1.0,2.0,7.0,6.0,1.0,5,1998.0,2,3.0,642.0,4.0,4.0,2.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2,2006,8.0,4.0,140000.0
60.0,3.0,84.0,14260.0,1.0,0,3.0,0.0,2,0.0,15,2.0,2.0,0.0,5,8.0,5.0,2000.0,2000,1.0,1.0,12.0,13.0,1,350.0,2.0,4.0,2.0,2.0,3.0,2.0,2,655.0,5.0,0.0,490.0,1145.0,1.0,0,1.0,4.0,1145.0,1053.0,0.0,2198.0,1.0,0.0,2.0,1,4.0,1.0,2.0,9.0,6.0,1.0,1,2000.0,1,3.0,836.0,4.0,4.0,2.0,192.0,84.0,0.0,0.0,0.0,0.0,0.0,12,2008,8.0,4.0,250000.0
50.0,3.0,85.0,14115.0,1.0,0,3.0,0.0,4,0.0,11,2.0,2.0,0.0,0,5.0,5.0,1993.0,1995,1.0,1.0,12.0,13.0,2,0.0,3.0,4.0,2.0,2.0,3.0,3.0,2,732.0,5.0,0.0,64.0,796.0,1.0,0,1.0,4.0,796.0,566.0,0.0,1362.0,1.0,0.0,1.0,1,1.0,1.0,3.0,5.0,6.0,0.0,1,1993.0,2,2.0,480.0,4.0,4.0,2.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,10,2009,8.0,4.0,143000.0
20.0,3.0,75.0,10084.0,1.0,3,3.0,0.0,4,0.0,21,2.0,2.0,0.0,2,8.0,5.0,2004.0,2005,1.0,1.0,12.0,13.0,3,186.0,2.0,4.0,2.0,2.0,3.0,2.0,2,1369.0,5.0,0.0,317.0,1686.0,1.0,0,1.0,4.0,1694.0,0.0,0.0,1694.0,1.0,0.0,2.0,0,3.0,1.0,2.0,7.0,6.0,1.0,1,2004.0,1,2.0,636.0,4.0,4.0,2.0,255.0,57.0,0.0,0.0,0.0,0.0,0.0,8,2007,8.0,4.0,307000.0
60.0,3.0,69.30579531442663,10382.0,1.0,0,3.0,0.0,0,0.0,14,2.0,2.0,0.0,5,7.0,6.0,1973.0,1973,1.0,1.0,6.0,6.0,3,240.0,3.0,4.0,1.0,2.0,3.0,2.0,0,859.0,5.0,0.0,216.0,1107.0,1.0,0,1.0,4.0,1107.0,983.0,0.0,2090.0,1.0,0.0,2.0,1,3.0,1.0,3.0,7.0,6.0,2.0,1,1973.0,1,2.0,484.0,4.0,4.0,2.0,235.0,70.0,0.0,0.0,0.0,0.0,0.0,11,2009,8.0,4.0,200000.0
50.0,3.0,51.0,6120.0,1.0,3,3.0,0.0,4,0.0,17,2.0,2.0,0.0,0,7.0,5.0,1931.0,1950,1.0,1.0,3.0,15.0,2,0.0,3.0,4.0,0.0,3.0,3.0,3.0,5,0.0,5.0,0.0,952.0,952.0,1.0,2,1.0,4.0,1022.0,752.0,0.0,1774.0,0.0,0.0,2.0,0,2.0,1.0,3.0,8.0,6.0,2.0,5,1931.0,2,2.0,468.0,4.0,4.0,2.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2008,8.0,4.0,129900.0
70.0,3.0,50.0,7420.0,1.0,3,3.0,0.0,0,0.0,3,2.0,2.0,0.0,1,5.0,6.0,1939.0,1950,1.0,1.0,8.0,8.0,2,0.0,3.0,4.0,0.0,3.0,3.0,3.0,2,851.0,5.0,0.0,140.0,991.0,1.0,0,1.0,4.0,1077.0,0.0,0.0,1077.0,1.0,0.0,1.0,0,2.0,1.0,3.0,5.0,6.0,2.0,1,1939.0,1,1.0,205.0,4.0,4.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,2008,8.0,4.0,118000.0
20.0,3.0,70.0,11200.0,1.0,3,3.0,0.0,4,0.0,19,2.0,2.0,0.0,2,5.0,5.0,1965.0,1965,1.0,1.0,6.0,6.0,2,0.0,3.0,4.0,1.0,3.0,3.0,3.0,4,906.0,5.0,0.0,134.0,1040.0,1.0,0,1.0,4.0,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0,3.0,1.0,3.0,5.0,6.0,0.0,5,1965.0,2,1.0,384.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2008,8.0,4.0,129500.0
60.0,3.0,85.0,11924.0,1.0,0,3.0,0.0,4,0.0,16,2.0,2.0,0.0,5,9.0,5.0,2005.0,2006,1.0,1.0,14.0,15.0,3,286.0,2.0,4.0,2.0,2.0,3.0,3.0,2,998.0,5.0,0.0,177.0,1175.0,1.0,0,1.0,4.0,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0,4.0,1.0,2.0,7.0,6.0,2.0,3,2005.0,0,3.0,736.0,4.0,4.0,2.0,147.0,21.0,0.0,0.0,0.0,0.0,0.0,7,2006,8.0,4.0,210143.9
20.0,3.0,69.30579531442663,12968.0,1.0,1,3.0,0.0,4,0.0,19,2.0,2.0,0.0,2,5.0,6.0,1962.0,1962,1.0,1.0,6.0,10.0,2,0.0,3.0,4.0,1.0,3.0,3.0,3.0,0,737.0,5.0,0.0,175.0,912.0,1.0,4,1.0,4.0,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0,2.0,1.0,3.0,4.0,6.0,0.0,5,1962.0,2,1.0,352.0,4.0,4.0,2.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,9,2008,8.0,4.0,144000.0
20.0,3.0,91.0,10652.0,1.0,0,3.0,0.0,4,0.0,5,2.0,2.0,0.0,2,7.0,5.0,2006.0,2007,1.0,1.0,12.0,13.0,3,306.0,2.0,4.0,2.0,2.0,3.0,2.0,5,0.0,5.0,0.0,1494.0,1494.0,1.0,0,1.0,4.0,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0,3.0,1.0,2.0,7.0,6.0,1.0,1,2006.0,1,3.0,840.0,4.0,4.0,2.0,160.0,33.0,0.0,0.0,0.0,0.0,0.0,8,2007,8.0,4.0,279500.0
20.0,3.0,69.30579531442663,10920.0,1.0,0,3.0,0.0,0,0.0,12,2.0,2.0,0.0,2,6.0,5.0,1960.0,1960,1.0,1.0,8.0,8.0,1,212.0,3.0,4.0,1.0,3.0,3.0,3.0,1,733.0,5.0,0.0,520.0,1253.0,1.0,4,1.0,4.0,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1,2.0,1.0,3.0,5.0,6.0,1.0,1,1960.0,1,1.0,352.0,4.0,4.0,2.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,5,2008,8.0,4.0,157000.0
45.0,3.0,51.0,6120.0,1.0,3,3.0,0.0,0,0.0,3,2.0,2.0,0.0,1,7.0,6.0,1929.0,2001,1.0,1.0,13.0,14.0,2,0.0,3.0,4.0,0.0,3.0,3.0,3.0,5,0.0,5.0,0.0,832.0,832.0,1.0,0,1.0,4.0,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0,2.0,1.0,3.0,5.0,6.0,0.0,5,1991.0,2,2.0,576.0,4.0,4.0,2.0,48.0,112.0,0.0,0.0,0.0,0.0,0.0,7,2007,8.0,4.0,132000.0
20.0,3.0,69.30579531442663,11241.0,1.0,0,3.0,0.0,1,0.0,12,2.0,2.0,0.0,2,6.0,7.0,1970.0,1970,1.0,1.0,13.0,14.0,1,180.0,3.0,4.0,1.0,3.0,3.0,3.0,0,578.0,5.0,0.0,426.0,1004.0,1.0,0,1.0,4.0,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0,2.0,1.0,3.0,5.0,6.0,1.0,1,1970.0,0,2.0,480.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2010,8.0,4.0,149000.0
90.0,3.0,72.0,10791.0,1.0,3,3.0,0.0,4,0.0,19,2.0,2.0,0.0,2,4.0,5.0,1967.0,1967,1.0,1.0,8.0,8.0,2,0.0,3.0,4.0,3.0,3.0,3.0,3.0,5,0.0,5.0,0.0,0.0,793.0,1.0,4,1.0,4.0,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0,2.0,1.0,3.0,6.0,6.0,0.0,4,1967.0,2,2.0,516.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,2006,8.0,4.0,90000.0
20.0,3.0,66.0,13695.0,1.0,3,3.0,0.0,4,0.0,20,2.0,2.0,0.0,2,5.0,5.0,2004.0,2004,1.0,1.0,12.0,13.0,2,0.0,3.0,4.0,2.0,3.0,3.0,3.0,2,646.0,5.0,0.0,468.0,1114.0,1.0,0,1.0,4.0,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1,3.0,1.0,2.0,6.0,6.0,0.0,5,2004.0,2,2.0,576.0,4.0,4.0,2.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,6,2008,8.0,4.0,159000.0
20.0,3.0,70.0,7560.0,1.0,3,3.0,0.0,4,0.0,12,2.0,2.0,0.0,2,5.0,6.0,1958.0,1965,1.0,1.0,3.0,10.0,2,0.0,3.0,4.0,1.0,3.0,3.0,3.0,3,504.0,5.0,0.0,525.0,1029.0,1.0,4,1.0,4.0,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0,3.0,1.0,3.0,6.0,6.0,0.0,1,1958.0,2,1.0,294.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2009,8.0,4.0,139000.0
60.0,3.0,101.0,14215.0,1.0,0,3.0,0.0,0,0.0,16,2.0,2.0,0.0,5,8.0,5.0,2005.0,2006,1.0,1.0,12.0,13.0,1,380.0,2.0,4.0,2.0,2.0,3.0,2.0,5,0.0,5.0,0.0,1158.0,1158.0,1.0,0,1.0,4.0,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1,4.0,1.0,2.0,9.0,6.0,1.0,3,2005.0,1,3.0,853.0,4.0,4.0,2.0,240.0,154.0,0.0,0.0,0.0,0.0,0.0,11,2006,8.0,4.0,325300.0
45.0,3.0,57.0,7449.0,1.0,3,3.0,0.0,4,0.0,9,2.0,2.0,0.0,1,7.0,7.0,1930.0,1950,1.0,1.0,13.0,14.0,2,0.0,3.0,4.0,2.0,3.0,3.0,3.0,5,0.0,5.0,0.0,637.0,637.0,1.0,0,1.0,4.0,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0,3.0,1.0,2.0,6.0,6.0,1.0,1,1930.0,2,1.0,280.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2007,8.0,4.0,139400.0
20.0,3.0,75.0,9742.0,1.0,3,3.0,0.0,4,0.0,5,2.0,2.0,0.0,2,8.0,5.0,2002.0,2002,1.0,1.0,12.0,13.0,1,281.0,2.0,4.0,2.0,2.0,3.0,3.0,5,0.0,5.0,0.0,805.0,1777.0,1.0,0,1.0,4.0,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0,3.0,1.0,2.0,7.0,6.0,1.0,1,2002.0,1,2.0,534.0,4.0,4.0,2.0,171.0,159.0,0.0,0.0,0.0,0.0,0.0,9,2008,8.0,4.0,230000.0
